Date,Symbol,Series,PrevClose,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,DeliverableVolume,Deliverble
20-05-2008,KOTAKBANK,EQ,771.05,765,778.4,741,759.3,758.25,760.84,856733,6.51841E+13,,385694,0.4502
21-05-2008,KOTAKBANK,EQ,758.25,760,760,736,737.5,738.15,744.04,499426,3.71594E+13,,161339,0.323
22-05-2008,KOTAKBANK,EQ,738.15,725,735,704,715,715.3,715.68,760345,5.4416E+13,,305488,0.4018
23-05-2008,KOTAKBANK,EQ,715.3,718.05,725.85,695.15,700.1,700.85,711.85,705031,5.01878E+13,,219961,0.312
26-05-2008,KOTAKBANK,EQ,700.85,690,690,650.1,659.5,657.85,664.87,658793,4.38011E+13,,217624,0.3303
27-05-2008,KOTAKBANK,EQ,657.85,662,700,658,667.9,665.95,668.8,1304598,8.72516E+13,,602475,0.4618
28-05-2008,KOTAKBANK,EQ,665.95,665.95,715,660.05,709,706.95,685.11,703407,4.8191E+13,,171593,0.2439
29-05-2008,KOTAKBANK,EQ,706.95,717,721,671,683,679.9,696.19,1079474,7.51515E+13,,360106,0.3336
30-05-2008,KOTAKBANK,EQ,679.9,689,704,676,691,692.95,687.65,613201,4.21669E+13,,157808,0.2574
02-06-2008,KOTAKBANK,EQ,692.95,700,700,643.1,644.95,648.8,665.69,1121129,7.46329E+13,,408512,0.3644
03-06-2008,KOTAKBANK,EQ,648.8,640,677.4,616,677,669.25,652.47,1010691,6.59442E+13,,207394,0.2052
04-06-2008,KOTAKBANK,EQ,669.25,671.05,678,625.1,629,638.55,653.51,862828,5.63866E+13,,253429,0.2937
05-06-2008,KOTAKBANK,EQ,638.55,644.7,654.7,623,644,646.8,640.18,1113097,7.12585E+13,,424837,0.3817
06-06-2008,KOTAKBANK,EQ,646.8,660,668,631.1,635.5,638.4,649.53,710889,4.61747E+13,,126200,0.1775
09-06-2008,KOTAKBANK,EQ,638.4,629.95,644.85,592.65,640,636.65,620.84,1426949,8.8591E+13,,722785,0.5065
10-06-2008,KOTAKBANK,EQ,636.65,634,651.95,591.25,633,627.15,618.04,1530219,9.4573E+13,,474880,0.3103
11-06-2008,KOTAKBANK,EQ,627.15,642.9,648.95,630.1,634.1,637.35,638.27,1029396,6.5703E+13,,344399,0.3346
12-06-2008,KOTAKBANK,EQ,637.35,606.05,625,591.2,617,620.9,605.89,1730296,1.04836E+14,,635760,0.3674
13-06-2008,KOTAKBANK,EQ,620.9,626,631,608,608.5,613.7,621.76,692923,4.30829E+13,,135493,0.1955
16-06-2008,KOTAKBANK,EQ,613.7,624.95,638,620.3,631.1,630.95,630.32,1060188,6.68255E+13,,516431,0.4871
17-06-2008,KOTAKBANK,EQ,630.95,632,688.9,627,676.4,678.6,662.11,1439865,9.53352E+13,,279034,0.1938
18-06-2008,KOTAKBANK,EQ,678.6,678.6,689,646.25,649,650.35,665.63,921836,6.136E+13,,175398,0.1903
19-06-2008,KOTAKBANK,EQ,650.35,645,645,610,614.9,613.9,623.23,722927,4.50553E+13,,146746,0.203
20-06-2008,KOTAKBANK,EQ,613.9,618.05,625,576,596,595,594.54,1592406,9.46748E+13,,490334,0.3079
23-06-2008,KOTAKBANK,EQ,595,590,598,560,565,562.7,575.61,1037623,5.97269E+13,,268605,0.2589
24-06-2008,KOTAKBANK,EQ,562.7,570,579,530,531,538.25,555.2,1176238,6.53052E+13,,289689,0.2463
25-06-2008,KOTAKBANK,EQ,538.25,538.25,539.8,510,525,525.45,526.21,1984425,1.04423E+14,,905034,0.4561
26-06-2008,KOTAKBANK,EQ,525.45,530,546.7,513,514,520.2,530.47,1297705,6.88393E+13,,342437,0.2639
27-06-2008,KOTAKBANK,EQ,520.2,515,515,485,486.85,490.6,498.31,2415189,1.20351E+14,,1063338,0.4403
30-06-2008,KOTAKBANK,EQ,490.6,492,492,456,456,461.5,471.08,991577,4.67116E+13,,313815,0.3165
01-07-2008,KOTAKBANK,EQ,461.5,451.5,468.9,435.75,444.9,444.55,448.24,1706431,7.64889E+13,,749217,0.4391
02-07-2008,KOTAKBANK,EQ,444.55,447,499,435,499,481.75,458.82,1821395,8.35692E+13,,581380,0.3192
03-07-2008,KOTAKBANK,EQ,481.75,475,482,418.55,420,430.1,440.8,2670778,1.17728E+14,,1234239,0.4621
04-07-2008,KOTAKBANK,EQ,430.1,429.9,456.9,421,446,450.95,435.64,3697217,1.61065E+14,,1322953,0.3578
07-07-2008,KOTAKBANK,EQ,450.95,457.05,484.7,456,460.4,464.4,472.18,1509912,7.12951E+13,,414401,0.2745
08-07-2008,KOTAKBANK,EQ,464.4,453.9,495,433,483,482.55,472.98,1812010,8.57044E+13,,436205,0.2407
09-07-2008,KOTAKBANK,EQ,482.55,496,524,491,520,520.3,511,1746011,8.92209E+13,,466472,0.2672
10-07-2008,KOTAKBANK,EQ,520.3,510,538,500.9,515.3,518,518.24,1895633,9.82391E+13,,546378,0.2882
11-07-2008,KOTAKBANK,EQ,518,520,532,498,500,506.5,514.83,1671572,8.6058E+13,,381959,0.2285
14-07-2008,KOTAKBANK,EQ,506.5,495,515,483.5,488,491.7,499.91,1968336,9.84E+13,,600369,0.305
15-07-2008,KOTAKBANK,EQ,491.7,481.5,490,455.2,460.35,464,465.13,1538255,7.15484E+13,,383434,0.2493
16-07-2008,KOTAKBANK,EQ,464,460,474.8,441.35,447,445.65,454.42,1266035,5.75316E+13,,233815,0.1847
17-07-2008,KOTAKBANK,EQ,445.65,464.8,474.5,460,465.1,468.25,466.96,1103063,5.15084E+13,,386124,0.35
18-07-2008,KOTAKBANK,EQ,468.25,470,499,456.1,461.85,470.3,484.28,1666201,8.06905E+13,,459408,0.2757
21-07-2008,KOTAKBANK,EQ,470.3,475,488,463,474,478.45,476.23,2604795,1.24048E+14,,1360746,0.5224
22-07-2008,KOTAKBANK,EQ,478.45,477,514.5,473.05,510.05,510.3,498.46,2230847,1.11199E+14,,570233,0.2556
23-07-2008,KOTAKBANK,EQ,510.3,530,586.5,530,584.1,578.5,568.11,2551729,1.44965E+14,,1127558,0.4419
24-07-2008,KOTAKBANK,EQ,578.5,581,600,548.1,581,578.95,573.12,1930082,1.10618E+14,,640260,0.3317
25-07-2008,KOTAKBANK,EQ,578.95,561.6,572,551,559,559.6,560.56,1388790,7.78502E+13,,436493,0.3143
28-07-2008,KOTAKBANK,EQ,559.6,540,584,540,578.5,577.15,558.42,2193598,1.22495E+14,,467670,0.2132
29-07-2008,KOTAKBANK,EQ,577.15,560,575,514,515.55,524.05,536.54,2493516,1.33788E+14,,862902,0.3461
30-07-2008,KOTAKBANK,EQ,524.05,531.55,554.95,525.25,541,544.7,543.09,1583170,8.59806E+13,,456530,0.2884
31-07-2008,KOTAKBANK,EQ,544.7,551,552,521.05,524,530.55,531.82,1199740,6.38047E+13,,361391,0.3012
01-08-2008,KOTAKBANK,EQ,530.55,515.1,569.4,510.3,565.9,565.35,549.49,1428693,7.85057E+13,,328758,0.2301
04-08-2008,KOTAKBANK,EQ,565.35,561,578,548,554,554.35,561.34,1986670,1.1152E+14,,731472,0.3682
05-08-2008,KOTAKBANK,EQ,554.35,554.35,591.95,551,587,587.05,577.84,1737685,1.00411E+14,,410371,0.2362
06-08-2008,KOTAKBANK,EQ,587.05,615,621.9,597.1,602,601.8,610.82,2736832,1.67172E+14,,823506,0.3009
07-08-2008,KOTAKBANK,EQ,601.8,599,613.95,582.1,604.5,601.25,602.38,1056924,6.36671E+13,,107392,0.1016
08-08-2008,KOTAKBANK,EQ,601.25,580.5,645,580.5,643,638.1,616.29,2107901,1.29907E+14,,320670,0.1521
11-08-2008,KOTAKBANK,EQ,638.1,728.25,728.25,645.35,661.1,661.3,663.52,1919105,1.27336E+14,,674067,0.3512
